_key,window_idx,bucket_low_pct,bucket_high_pct,percentile_rank,pathwise_loss,endpoint_return,start_unix,end_unix,start_iso,end_iso,start_block,end_block,num_blocks
103,103,30,40,33.86382651023939,0.0013087428830705905,0.004563679142997934,1712656260,1712659860,2024-04-09T09:51:00Z,2024-04-09T10:51:00Z,19617309,19617603,295
104,104,30,40,34.98041489988781,0.0013614440025081498,0.0024413199269681662,1762397520,1762401120,2025-11-06T02:52:00Z,2025-11-06T03:52:00Z,23737381,23737676,296
105,105,30,40,35.58432051111407,0.0013904962702386836,-0.0010438748266893283,1673431860,1673435460,2023-01-11T10:11:00Z,2023-01-11T11:11:00Z,16382888,16383187,300
106,106,30,40,35.62125648875283,0.0013923253607186492,0.0012752636106454496,1679465220,1679468820,2023-03-22T06:07:00Z,2023-03-22T07:07:00Z,16881250,16881543,294
107,107,30,40,35.85204692818163,0.001403266128648939,-1.7228923679502017e-05,1671767760,1671771360,2022-12-23T03:56:00Z,2022-12-23T04:56:00Z,16244864,16245162,299
108,108,30,40,36.11620809644236,0.0014162369163962518,0.00015915292982615625,1677872340,1677875940,2023-03-03T19:39:00Z,2023-03-03T20:39:00Z,16750106,16750401,296
109,109,30,40,36.12310091080223,0.0014165308185937198,-0.0005649484440589658,1758159360,1758162960,2025-09-18T01:36:00Z,2025-09-18T02:36:00Z,23386718,23387017,300
110,110,30,40,37.49082542640376,0.0014832664669723883,0.000665390564623225,1723594680,1723598280,2024-08-14T00:18:00Z,2024-08-14T01:18:00Z,20523238,20523534,297
111,111,30,40,38.012159875263826,0.001509017618924413,0.007382045175552188,1727051100,1727054700,2024-09-23T00:25:00Z,2024-09-23T01:25:00Z,20809688,20809986,299
112,112,30,40,38.13656329029682,0.0015153026900269762,0.0014114428984115523,1670663460,1670667060,2022-12-10T09:11:00Z,2022-12-10T10:11:00Z,16153320,16153618,299
113,113,30,40,38.4259664201099,0.0015297352424641364,0.0003251573609148739,1746792120,1746795720,2025-05-09T12:02:00Z,2025-05-09T13:02:00Z,22445785,22446079,295
114,114,30,40,38.61264284763553,0.0015391572427609912,0.0045196970699823424,1715614380,1715617980,2024-05-13T15:33:00Z,2024-05-13T16:33:00Z,19862015,19862313,299
115,115,30,40,38.62852008898861,0.0015399618008704596,-0.00027912921188166795,1671672600,1671676200,2022-12-22T01:30:00Z,2022-12-22T02:30:00Z,16236963,16237261,299
116,116,30,40,38.669401608640264,0.0015420959869444362,-0.0007694833970993686,1729943280,1729946880,2024-10-26T11:48:00Z,2024-10-26T12:48:00Z,21049596,21049894,299
117,117,30,40,39.00567587610047,0.0015593256114614373,0.0012767473153743047,1651406880,1651410480,2022-05-01T12:08:00Z,2022-05-01T13:08:00Z,14691870,14692151,282
118,118,30,40,39.19800916506627,0.0015690125337751715,0.001762238541735739,1765514760,1765518360,2025-12-12T04:46:00Z,2025-12-12T05:46:00Z,23994273,23994569,297
119,119,30,40,39.33172976364777,0.0015757953484641929,-9.413312735062629e-05,1691728500,1691732100,2023-08-11T04:35:00Z,2023-08-11T05:35:00Z,17889292,17889591,300
120,120,40,50,40.484921374379645,0.0016351754919015082,0.00470063725372416,1737099240,1737102840,2025-01-17T07:34:00Z,2025-01-17T08:34:00Z,21642751,21643047,297
121,121,40,50,40.61788138654903,0.0016420064171172033,0.003912975043396827,1735009320,1735012920,2024-12-24T03:02:00Z,2024-12-24T04:02:00Z,21469519,21469817,299
122,122,40,50,40.637894316518036,0.0016430790365214998,0.0009187723599788367,1651038000,1651041600,2022-04-27T05:40:00Z,2022-04-27T06:40:00Z,14664696,14664934,239
123,123,40,50,40.649398186001406,0.001643633398838551,-0.001456510915663789,1696035840,1696039440,2023-09-30T01:04:00Z,2023-09-30T02:04:00Z,18245122,18245421,300
124,124,40,50,40.75654579680934,0.0016488917442981643,-0.0009362886818717886,1732692660,1732696260,2024-11-27T07:31:00Z,2024-11-27T08:31:00Z,21277610,21277908,299
125,125,40,50,40.81782053963606,0.001652105970502249,0.006030242386707796,1721059320,1721062920,2024-07-15T16:02:00Z,2024-07-15T17:02:00Z,20312974,20313272,299
126,126,40,50,41.23214998764047,0.0016739515012342832,0.002036140006800302,1656441060,1656444660,2022-06-28T18:31:00Z,2022-06-28T19:31:00Z,15041016,15041268,253
127,127,40,50,41.46465174649655,0.0016861471900885272,0.002534683465014176,1678254840,1678258440,2023-03-08T05:54:00Z,2023-03-08T06:54:00Z,16781588,16781885,298
128,128,40,50,42.02444334581963,0.0017158708429467762,0.023443819183974757,1655292360,1655295960,2022-06-15T11:26:00Z,2022-06-15T12:26:00Z,14967250,14967478,229
129,129,40,50,42.763828411705425,0.0017553380839177013,-0.0011043862621639144,1684448820,1684452420,2023-05-18T22:27:00Z,2023-05-18T23:27:00Z,17289397,17289692,296
130,130,40,50,43.122777661577075,0.0017745322196817126,0.0010568802202417515,1667618340,1667621940,2022-11-05T03:19:00Z,2022-11-05T04:19:00Z,15901084,15901383,300
131,131,40,50,44.390770283888884,0.0018442473119341107,0.0036198232131106067,1656990660,1656994260,2022-07-05T03:11:00Z,2022-07-05T04:11:00Z,15080037,15080282,246
132,132,40,50,44.45028617063756,0.0018476951084884785,0.0027391974717927425,1692803640,1692807240,2023-08-23T15:14:00Z,2023-08-23T16:14:00Z,17978233,17978531,299
133,133,40,50,44.752238976250695,0.0018645769451078875,0.00013500304541747,1757944740,1757948340,2025-09-15T13:59:00Z,2025-09-15T14:59:00Z,23368929,23369226,298
134,134,40,50,45.26834439352741,0.0018940452500539884,-0.0012967612057729339,1688015640,1688019240,2023-06-29T05:14:00Z,2023-06-29T06:14:00Z,17582809,17583102,294
135,135,40,50,45.62287273487859,0.0019136514755109246,-0.00017749219442364517,1659198720,1659202320,2022-07-30T16:32:00Z,2022-07-30T17:32:00Z,15244899,15245149,251
136,136,40,50,45.716092107014504,0.0019189393830512103,-0.00023965354834387664,1766872500,1766876100,2025-12-27T21:55:00Z,2025-12-27T22:55:00Z,24106783,24107082,300
137,137,40,50,47.216301268277846,0.00200479876997961,0.007598112144840963,1687291560,1687295160,2023-06-20T20:06:00Z,2023-06-20T21:06:00Z,17523169,17523464,296
138,138,40,50,47.95378486813333,0.0020488935211558923,0.0005207059061040908,1743281880,1743285480,2025-03-29T20:58:00Z,2025-03-29T21:58:00Z,22155098,22155394,297
139,139,40,50,48.09577684394668,0.0020572476795913675,0.0009122753407733164,1703049120,1703052720,2023-12-20T05:12:00Z,2023-12-20T06:12:00Z,18824963,18825257,295
140,140,40,50,48.166653990226465,0.002061614667996814,0.0007773669700332775,1686074160,1686077760,2023-06-06T17:56:00Z,2023-06-06T18:56:00Z,17423020,17423313,294
